locality,address,purchase_price,num_bed,num_bath,num_parking,land_area,source_url,sale_year,source_page_url,source_checked_date
PARRAMATTA,33 Rosehill St,2080000,4,1,1.0,691.0,https://www.realestate.com.au/property/33-rosehill-st-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,124 Thomas Street,2300000,3,1,1.0,739.0,https://www.realestate.com.au/property/124-thomas-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,11 Pemberton Street,1610000,3,1,1.0,461.0,https://www.realestate.com.au/property/11-pemberton-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,57 Pitt Street,1310000,4,2,2.0,236.0,https://www.realestate.com.au/property/57-pitt-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,28 Marsden Street,1555000,3,1,1.0,505.0,https://www.realestate.com.au/property/28-marsden-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,13 Morton Street,1800000,4,3,2.0,461.0,https://www.realestate.com.au/property/13-morton-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,58 Crimea Street,1620000,3,2,2.0,613.0,https://www.realestate.com.au/property/58-crimea-street-parramatta-nsw-2150/,2026,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,25 Lansdowne Street,1500000,3,1,2.0,,https://www.realestate.com.au/property/25-lansdowne-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,114 Thomas Street,1360000,3,2,1.0,381.0,https://www.realestate.com.au/property/114-thomas-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,7A Irving Street,1680000,5,3,2.0,462.0,https://www.realestate.com.au/property/7a-irving-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,7 Trott Street,1150000,2,1,2.0,,https://www.realestate.com.au/property/7-trott-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,1 Auburn Street,1500000,3,2,1.0,717.0,https://www.realestate.com.au/property/1-auburn-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,38 Inkerman Street,2010500,3,2,4.0,698.0,https://www.realestate.com.au/property/38-inkerman-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,131A Victoria Road,1230000,3,2,2.0,343.0,https://www.realestate.com.au/property/131a-victoria-road-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,136 Thomas Street,2250000,5,4,2.0,,https://www.realestate.com.au/property/136-thomas-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
PARRAMATTA,18 Oak Street,1850000,6,3,2.0,612.0,https://www.realestate.com.au/property/18-oak-street-parramatta-nsw-2150/,2025,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/house/,2026-09-18
